"取引日時","通貨","取引種別","取引価格","通貨1","通貨1数量","手数料","通貨1の対円レート","通貨2","通貨2数量","手数料(JPY)","課税区分","自己・媒介","注文 ID","備考"
"2019/09/24 08:01:58","BTC/JPY","買い","1,072,360","BTC","0.002","0","1,072,360","JPY","-2,145","","","自己","BFF20190923-230158-215758",""
"2019/09/21 00:03:26","BTC","受取","0","BTC","0.000005","0","1,075,324","","0","","","","REC20190920-150326-857250","bitFlyer Login Bonus(2019/09/21)"
"2019/09/03 12:39:26","BTC/JPY","売り","1,085,648","BTC","-0.00054419","0","1,085,648","JPY","590","","","自己","BFF20190903-033925-809715",""
"2019/08/22 12:27:04","BTC","受取","0","BTC","0.00015689","0","1,075,385","","0","","","","ECR20190822-032704-459286","株式会社 bitFlyer Tポイント"
"2019/08/05 22:20:01","BTC/JPY","売り","1,249,806","BTC","-0.002","-0.000003","1,249,806","JPY","2,499","","","媒介","JOR20190805-131923-944988",""
"2019/07/27 00:33:49","BTC","受取","0","BTC","0.000005","0","1,027,975","","0","","","","REC20190726-153349-571326","bitFlyer Login Bonus(2019/07/27)"
"2019/07/23 00:22:03","BTC","受取","0","BTC","0.000005","0","1,079,860","","0","","","","REC20190722-152203-245633","bitFlyer Login Bonus(2019/07/23)"
"2019/07/21 00:24:30","BTC","受取","0","BTC","0.000005","0","1,121,662","","0","","","","REC20190720-152430-395783","bitFlyer Login Bonus(2019/07/21)"
"2019/07/18 00:12:35","BTC","受取","0","BTC","0.000005","0","1,112,183","","0","","","","REC20190717-151235-636571","bitFlyer Login Bonus(2019/07/18)"
"2019/07/17 11:24:54","BTC/JPY","買い","1,040,362","BTC","0.000008","0","1,040,362","JPY","-9","","","自己","BFF20190717-022454-698032",""
"2019/07/14 07:03:51","BTC/JPY","買い","1,227,656","BTC","0.00083","0","1,227,656","JPY","-1,019","","","自己","BFF20190713-220351-280377",""
"2019/07/13 16:54:02","BTC/JPY","買い","1,287,545","BTC","0.0008","0","1,287,545","JPY","-1,031","","","自己","BFF20190713-075402-115189",""
"2019/07/13 14:21:03","ETH/JPY","買い","31,174","ETH","0.04","0","31,174","JPY","-1,247","","","自己","BFF20190713-052103-761959",""
"2019/07/12 22:54:52","MONA/JPY","買い","229.6","MONA","1","0","229.6","JPY","-230","","","自己","BFF20190712-135452-428311",""
"2019/07/12 18:30:16","MONA/JPY","買い","232.52","MONA","2","0","232.52","JPY","-466","","","自己","BFF20190712-093016-809243",""
"2019/07/12 18:13:07","JPY","入金","0","JPY","4,000","0","0","","0","","","","MDP20190712-091307-767568",""
"2019/07/12 00:08:55","BTC","受取","0","BTC","0.000005","0","1,259,504","","0","","","","REC20190711-150855-100759","bitFlyer Login Bonus(2019/07/12)"
"2019/07/11 17:24:01","BTC/JPY","買い","1,284,322","BTC","0.00001","0","1,284,322","JPY","-13","","","自己","BFF20190711-082401-038075",""
"2019/07/10 19:09:37","MONA/JPY","買い","263.911","MONA","0.5","0","263.911","JPY","-132","","","自己","BFF20190710-100937-628655",""
"2019/07/10 18:48:13","MONA/JPY","買い","264.642","MONA","1","0","264.642","JPY","-265","","","自己","BFF20190710-094813-577958",""
"2019/07/10 18:47:39","BTC/JPY","売り","1,373,580","BTC","-0.0003","0","1,373,580","JPY","412","","","自己","BFF20190710-094739-576410",""
"2019/07/08 09:50:29","BTC","受取","0","BTC","0.00016955","0","1,290,910","","0","","","","CGR20190708-005029-114928","株式会社　bitFlyer 株式会社エムティーアイ"
"2019/07/08 09:50:28","BTC","受取","0","BTC","0.00084775","0","1,290,910","","0","","","","CGR20190708-005028-114801","株式会社　bitFlyer U-NEXT BookPlace（電子書籍・音楽chセット）"
